CountryName,Avg_Stringency,Max_Stringency,Std_Stringency,Avg_GovResponse,Total_Cases,Total_Deaths,Avg_Containment,CaseFatalityRate,Cluster
Afghanistan,27.3945802919708,84.26,24.29967646226418,26.088868613138686,207559.0,7849.0,29.713877737226277,3.781575359295429,0
Albania,41.78210766423358,89.81,23.814062232819087,44.86627737226278,333806.0,3595.0,46.19323905109489,1.0769728524951618,2
Algeria,48.36772810218978,92.13,26.424162677177332,46.918585766423355,271228.0,6881.0,49.66275547445255,2.5369799578214636,1
Andorra,33.4867700729927,56.48,20.38593184822811,46.75923357664234,47751.0,165.0,45.38448905109489,0.3455425017277125,0
Angola,51.621733576642335,90.74,22.93013920040518,44.55612226277373,105095.0,1930.0,49.0634306569343,1.8364337028402875,1
Argentina,52.42909671532847,100.0,31.840522442504664,53.55075729927007,9891139.0,130124.0,54.90554744525548,1.3155613322186657,1
Aruba,38.25028284671533,88.89,18.95548756131188,38.84252737226278,44145.0,280.0,40.91245437956205,0.6342734171480349,2
Australia,45.350546651856554,96.3,21.79308809080591,49.842979609647735,11131707.0,17052.0,50.796120675975885,0.15318405344301642,1
Austria,49.143120437956206,82.41,20.033888880560152,62.53241788321168,5705093.0,21443.0,58.53748175182482,0.37585715079491255,1
Azerbaijan,59.99155109489052,96.3,20.88145075269231,53.83354927007299,826401.0,10008.0,58.876925182481756,1.2110343525721774,1
Bahamas,52.295,96.3,25.022506793086194,52.45429744525548,37491.0,833.0,57.24272810218978,2.2218665813128484,1
Bahrain,37.79302919708029,78.7,23.9908473632817,49.15882299270073,698737.0,1539.0,49.79383211678832,0.2202545449861679,2
Bangladesh,49.97339416058394,93.52,31.322264037755712,49.230802919708026,2037125.0,29440.0,52.50686131386861,1.4451739583972512,1
Barbados,47.84323905109489,88.89,21.63650575696345,51.19204379562044,105515.0,568.0,53.855328467153285,0.5383120883286736,1
Belarus,23.35875912408759,43.52,14.540744326963047,27.627673357664232,994037.0,7118.0,31.439060218978103,0.7160699249625517,0
Belgium,39.04728102189781,81.48,23.311801602842042,49.48482664233577,4668248.0,33228.0,50.06787408759124,0.7117873771916144,2
Belize,48.01630474452555,85.19,27.080234038064713,48.221104014598545,69946.0,688.0,50.92187956204379,0.9836159322906243,1
Benin,32.174443430656936,70.83,18.358758751241716,37.478850364963506,27982.0,163.0,37.743686131386866,0.5825173325709384,0
Bermuda,39.402545620437955,96.3,21.27341452323461,47.98576642335767,18622.0,153.0,48.54629562043795,0.8216088497476104,2
Bhutan,50.683649635036495,97.22,27.696078844853258,55.18635948905109,62524.0,21.0,55.48688868613139,0.03358710255261979,1
Bolivia,42.292919708029196,96.3,27.90184333049,44.35209854014599,1161018.0,22299.0,46.89130474452555,1.920642057229087,2
Bosnia and Herzegovina,38.6827098540146,92.59,17.81566217854478,39.09128649635037,400992.0,16227.0,41.90067518248175,4.046714148910702,2
Botswana,36.4909306569343,86.11,27.096963900944107,37.96838503649635,328760.0,2794.0,41.441952554744525,0.84986008030174,2
Brazil,47.18306349689105,97.22,26.245056957089215,44.02102747364153,36331281.0,693853.0,47.321675790754256,1.9097950331010898,2
Brunei,39.496021897810216,76.85,19.596464517947428,44.540748175182486,266819.0,225.0,48.22480839416058,0.084326828299334,2
Bulgaria,36.167572992700734,73.15,19.77320922034103,41.94815693430657,1292104.0,38108.0,40.45234489051094,2.9492981989065896,0
Burkina Faso,20.494908759124087,89.81,18.041544790819763,27.162901459854016,22006.0,395.0,29.9455200729927,1.794965009542852,0
Burundi,15.849945255474454,27.31,4.689895579322157,18.62683394160584,51722.0,38.0,19.61507299270073,0.0734697034144078,0
Cambodia,45.121569343065694,83.8,26.092450338329687,41.0573996350365,138584.0,3056.0,45.00769160583942,2.205160768919933,2
Cameroon,31.54181569343066,71.3,17.545396619768837,31.57823905109489,123993.0,1965.0,35.34014598540146,1.5847668820014034,0
Canada,44.81966306047967,90.74,24.70144012440128,48.40358967674661,4505142.0,49238.0,49.88165341501564,1.0929289243269136,2
Cape Verde,48.15736313868613,87.96,24.192369110477777,49.215346715328465,63200.0,412.0,50.50548357664234,0.6518987341772152,1
Central African Republic,23.903476277372263,75.93,19.537646849969928,25.38940693430657,15351.0,113.0,27.63684306569343,0.7361083968471109,0
Chad,36.31362226277373,88.89,23.6966360389253,38.10185218978102,7650.0,194.0,40.35274635036497,2.5359477124183005,2
Chile,51.386925182481754,90.28,29.770781292334963,54.94792883211679,5037527.0,63172.0,57.347034671532846,1.2540280181128558,1
China,54.6373192290146,97.22,15.285563415458391,57.05103615419708,1956071.0,5549.0,62.09137146441606,0.2836809093330457,1
Colombia,50.66514598540146,90.74,26.02899305098208,53.771104014598535,6336660.0,141881.0,54.61017335766423,2.2390502251975017,1
Congo,43.53104927007299,97.22,21.76610449587668,38.02765510948905,25375.0,386.0,42.60866788321168,1.5211822660098522,2
Costa Rica,43.3070802919708,81.48,24.062561193554345,44.16326642335767,1161687.0,9072.0,46.40586678832117,0.7809332462186458,2
Cote d'Ivoire,24.87639598540146,80.56,18.631082862867956,32.52244525547445,87941.0,831.0,34.17970802919708,0.9449517290001251,0
Croatia,33.40400547445255,96.3,20.94465520068947,42.01609489051095,1263901.0,17596.0,43.169625912408755,1.3921976483917649,2
Cuba,48.01255474452555,100.0,30.92118507783954,50.2628102189781,1111993.0,8530.0,51.14328467153285,0.7670911597465092,1
Cyprus,45.09606751824818,94.44,26.06072039204815,58.979863138686135,631111.0,1258.0,53.99287408759124,0.19933102100898256,1
